epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,811.818,0.35018,0.27506,0.94524,0.76132,0.84664,0.87538,0.83815,0.27071,0.41234,0.82834,0.007921,0.007921,0.007921
44,830.8,0.34311,0.2651,0.94246,0.87689,0.8892,0.92875,0.89505,0.27301,0.37659,0.83179,0.0078715,0.0078715,0.0078715
45,849.679,0.34534,0.26909,0.94448,0.73845,0.92459,0.88014,0.85268,0.27459,0.50581,0.82758,0.007822,0.007822,0.007822
46,868.424,0.33858,0.26377,0.93829,0.77276,0.91092,0.87854,0.84564,0.2777,0.42436,0.82953,0.0077725,0.0077725,0.0077725
47,887.145,0.34436,0.27418,0.93955,0.7991,0.82333,0.88165,0.84206,0.29189,0.38955,0.83645,0.007723,0.007723,0.007723
48,905.832,0.34213,0.26695,0.942,0.75991,0.89199,0.89236,0.86432,0.25024,0.36924,0.81473,0.0076735,0.0076735,0.0076735
49,924.582,0.33481,0.26031,0.94009,0.83438,0.81439,0.88487,0.85387,0.25968,0.40521,0.81829,0.007624,0.007624,0.007624
50,943.373,0.3372,0.25682,0.93638,0.89313,0.7498,0.89016,0.85649,0.26459,0.39278,0.82345,0.0075745,0.0075745,0.0075745
51,962.217,0.34147,0.26606,0.94502,0.84723,0.84072,0.90056,0.86888,0.25999,0.41432,0.82492,0.007525,0.007525,0.007525
52,980.882,0.33858,0.26091,0.93397,0.79587,0.80175,0.86866,0.83886,0.24029,0.39141,0.80573,0.0074755,0.0074755,0.0074755
53,999.616,0.33291,0.25871,0.93727,0.88405,0.81475,0.90523,0.87112,0.26178,0.37056,0.8156,0.007426,0.007426,0.007426
54,1018.42,0.33204,0.25456,0.93796,0.75215,0.9134,0.89214,0.8648,0.25393,0.36642,0.81473,0.0073765,0.0073765,0.0073765
55,1037.23,0.33178,0.25305,0.9386,0.82674,0.83885,0.90494,0.87157,0.24336,0.35445,0.81242,0.007327,0.007327,0.007327
56,1056.01,0.3323,0.25641,0.93367,0.77787,0.94392,0.90219,0.87185,0.25145,0.35936,0.81801,0.0072775,0.0072775,0.0072775
57,1074.6,0.32754,0.2512,0.93338,0.81862,0.90371,0.91464,0.88004,0.26212,0.35166,0.82894,0.007228,0.007228,0.007228
58,1093.38,0.33259,0.24986,0.93746,0.77522,0.9117,0.9058,0.87424,0.25064,0.36117,0.81483,0.0071785,0.0071785,0.0071785
59,1112.06,0.32589,0.25051,0.93411,0.8037,0.92724,0.91839,0.88586,0.25034,0.32374,0.81466,0.007129,0.007129,0.007129
60,1130.57,0.3292,0.24844,0.93544,0.80971,0.90582,0.91315,0.88582,0.25833,0.36753,0.82467,0.0070795,0.0070795,0.0070795
61,1149.29,0.32733,0.248,0.93269,0.8214,0.91065,0.91522,0.8834,0.24861,0.33997,0.81439,0.00703,0.00703,0.00703
62,1168.06,0.32639,0.24336,0.93525,0.78892,0.91516,0.91386,0.88328,0.23988,0.31678,0.81333,0.0069805,0.0069805,0.0069805
63,1187.2,0.32276,0.24775,0.93378,0.75819,0.89598,0.86984,0.83916,0.25152,0.4139,0.82002,0.006931,0.006931,0.006931
64,1206.12,0.32413,0.24217,0.9319,0.77542,0.9126,0.90634,0.87838,0.25369,0.35096,0.82281,0.0068815,0.0068815,0.0068815
65,1225.06,0.32999,0.24694,0.93262,0.7642,0.93605,0.90852,0.87887,0.25128,0.3543,0.8184,0.006832,0.006832,0.006832
66,1243.83,0.32292,0.24488,0.93293,0.81998,0.91989,0.91091,0.88254,0.25284,0.36432,0.81783,0.0067825,0.0067825,0.0067825
67,1262.76,0.32284,0.24214,0.92814,0.76978,0.92769,0.90266,0.87234,0.25344,0.38686,0.81576,0.006733,0.006733,0.006733
68,1281.71,0.32293,0.23667,0.93019,0.75171,0.95607,0.9006,0.86699,0.25081,0.36428,0.81495,0.0066835,0.0066835,0.0066835
69,1300.36,0.32029,0.23759,0.93025,0.84254,0.87756,0.93266,0.90428,0.24391,0.32803,0.81337,0.006634,0.006634,0.006634
70,1319.17,0.31842,0.2332,0.93254,0.89514,0.90639,0.94975,0.9184,0.24221,0.29975,0.80969,0.0065845,0.0065845,0.0065845
71,1337.88,0.32083,0.23708,0.93313,0.86712,0.84059,0.92297,0.89211,0.25908,0.3466,0.82254,0.006535,0.006535,0.006535
72,1356.78,0.31982,0.23366,0.93062,0.74537,0.93239,0.89615,0.8694,0.24712,0.36317,0.81599,0.0064855,0.0064855,0.0064855
73,1375.67,0.32137,0.23944,0.93186,0.88335,0.88389,0.93523,0.8989,0.24559,0.31621,0.81207,0.006436,0.006436,0.006436
74,1394.32,0.32185,0.23824,0.93043,0.88822,0.85673,0.94006,0.91459,0.24005,0.34176,0.80683,0.0063865,0.0063865,0.0063865
75,1413.29,0.31513,0.23462,0.92722,0.73296,0.89362,0.8929,0.86206,0.25099,0.37176,0.81512,0.006337,0.006337,0.006337
76,1432.14,0.31509,0.2317,0.92843,0.84013,0.79996,0.90275,0.86714,0.24911,0.36229,0.8144,0.0062875,0.0062875,0.0062875
77,1451.07,0.30963,0.2292,0.92817,0.78111,0.78459,0.87561,0.84692,0.23858,0.41293,0.80626,0.006238,0.006238,0.006238
78,1470.04,0.30944,0.23098,0.92786,0.78844,0.89765,0.90408,0.87651,0.24087,0.33194,0.81118,0.0061885,0.0061885,0.0061885
79,1488.7,0.31733,0.22994,0.93074,0.77812,0.81513,0.89544,0.86669,0.2409,0.4133,0.81192,0.006139,0.006139,0.006139
80,1507.67,0.30773,0.22923,0.92307,0.79873,0.91633,0.91164,0.88132,0.24496,0.33083,0.81369,0.0060895,0.0060895,0.0060895
81,1526.59,0.30975,0.22984,0.92782,0.84218,0.91295,0.93333,0.90136,0.23504,0.29837,0.80573,0.00604,0.00604,0.00604
82,1545.53,0.31194,0.23093,0.92823,0.84784,0.85137,0.91628,0.88918,0.23416,0.35869,0.80461,0.0059905,0.0059905,0.0059905
83,1564.5,0.31195,0.22462,0.92606,0.78043,0.9144,0.90964,0.88391,0.22991,0.34072,0.80225,0.005941,0.005941,0.005941
84,1583.44,0.30553,0.22426,0.92529,0.90046,0.8941,0.93505,0.9079,0.23937,0.31662,0.8115,0.0058915,0.0058915,0.0058915
