epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1292.14,0.34777,0.26753,0.95323,0.74192,0.81529,0.84413,0.81432,0.27098,0.42816,0.83546,0.007921,0.007921,0.007921
44,1322.17,0.34112,0.26029,0.95181,0.78754,0.90656,0.90388,0.87129,0.26087,0.41429,0.83183,0.0078715,0.0078715,0.0078715
45,1352.09,0.34186,0.25981,0.9544,0.79934,0.88412,0.87931,0.8469,0.25738,0.47026,0.82709,0.007822,0.007822,0.007822
46,1382.02,0.33429,0.26036,0.94758,0.87493,0.8704,0.93196,0.89939,0.2634,0.37444,0.83489,0.0077725,0.0077725,0.0077725
47,1412.15,0.33963,0.26711,0.94461,0.76498,0.93648,0.90001,0.87268,0.2596,0.40962,0.8268,0.007723,0.007723,0.007723
48,1442.04,0.33691,0.25578,0.94962,0.8672,0.84614,0.92045,0.88833,0.24983,0.3745,0.82672,0.0076735,0.0076735,0.0076735
49,1472.02,0.33232,0.25202,0.94888,0.84557,0.87168,0.91267,0.88421,0.24317,0.37602,0.82218,0.007624,0.007624,0.007624
50,1502.04,0.33045,0.24992,0.94736,0.87732,0.75657,0.88685,0.85409,0.2609,0.38974,0.83585,0.0075745,0.0075745,0.0075745
51,1531.94,0.33108,0.25688,0.95216,0.80154,0.88564,0.88382,0.85326,0.25552,0.51215,0.82882,0.007525,0.007525,0.007525
52,1561.87,0.33762,0.25565,0.94452,0.84894,0.9148,0.93529,0.89258,0.25927,0.34933,0.82756,0.0074755,0.0074755,0.0074755
53,1591.74,0.33146,0.25161,0.94536,0.87205,0.84623,0.91943,0.88587,0.2501,0.35322,0.81995,0.007426,0.007426,0.007426
54,1621.63,0.32978,0.25104,0.94426,0.88728,0.8385,0.92195,0.89002,0.24573,0.36085,0.82493,0.0073765,0.0073765,0.0073765
55,1651.5,0.32999,0.24986,0.9456,0.82616,0.79087,0.89079,0.86158,0.24218,0.39282,0.81677,0.007327,0.007327,0.007327
56,1681.39,0.32753,0.25025,0.94161,0.82201,0.94769,0.91222,0.88421,0.24553,0.43429,0.81942,0.0072775,0.0072775,0.0072775
57,1711.39,0.32366,0.23954,0.93746,0.83159,0.8439,0.91121,0.88106,0.24599,0.37855,0.82173,0.007228,0.007228,0.007228
58,1741.22,0.32831,0.23953,0.94693,0.88508,0.81358,0.90734,0.88071,0.24913,0.39895,0.82007,0.0071785,0.0071785,0.0071785
59,1771.04,0.32143,0.24038,0.93918,0.91209,0.79505,0.90809,0.87752,0.25398,0.37149,0.82756,0.007129,0.007129,0.007129
60,1801.05,0.32748,0.24006,0.94246,0.80036,0.91862,0.9312,0.90167,0.24626,0.38256,0.82632,0.0070795,0.0070795,0.0070795
61,1831.12,0.32424,0.2408,0.94005,0.88205,0.84563,0.93332,0.90421,0.24048,0.36831,0.81909,0.00703,0.00703,0.00703
62,1861.14,0.31905,0.23283,0.93954,0.93433,0.91068,0.94469,0.91543,0.23205,0.30494,0.80668,0.0069805,0.0069805,0.0069805
63,1891.16,0.31655,0.23609,0.93769,0.90386,0.84713,0.92823,0.89814,0.23178,0.35092,0.81088,0.006931,0.006931,0.006931
64,1921.12,0.31821,0.23493,0.93946,0.79563,0.94841,0.92503,0.89508,0.23826,0.33945,0.80931,0.0068815,0.0068815,0.0068815
65,1951.13,0.32153,0.23494,0.93668,0.83175,0.90801,0.93699,0.90939,0.23851,0.35305,0.81367,0.006832,0.006832,0.006832
66,1981.02,0.31874,0.23696,0.93637,0.87308,0.90331,0.94238,0.91945,0.24118,0.33222,0.81893,0.0067825,0.0067825,0.0067825
67,2011.15,0.31388,0.23202,0.93566,0.83603,0.8683,0.92214,0.89353,0.23853,0.35846,0.8143,0.006733,0.006733,0.006733
68,2041.04,0.31483,0.22624,0.93717,0.90256,0.88121,0.93342,0.90709,0.23605,0.35116,0.818,0.0066835,0.0066835,0.0066835
69,2070.92,0.31701,0.23363,0.94109,0.79002,0.93842,0.90691,0.88322,0.23418,0.37951,0.81177,0.006634,0.006634,0.006634
70,2100.99,0.31508,0.2303,0.94281,0.85687,0.94926,0.93919,0.91286,0.23105,0.33275,0.81381,0.0065845,0.0065845,0.0065845
71,2130.78,0.31494,0.23389,0.94312,0.84723,0.8341,0.91739,0.89024,0.23397,0.35608,0.81431,0.006535,0.006535,0.006535
72,2160.75,0.31051,0.22654,0.94103,0.81108,0.87475,0.91978,0.89576,0.224,0.37493,0.80854,0.0064855,0.0064855,0.0064855
73,2190.54,0.31377,0.22453,0.93757,0.8251,0.90433,0.93369,0.90328,0.23544,0.35734,0.81602,0.006436,0.006436,0.006436
74,2220.65,0.31539,0.22811,0.93621,0.79451,0.91534,0.92629,0.90131,0.2343,0.34646,0.8151,0.0063865,0.0063865,0.0063865
75,2250.66,0.30876,0.22364,0.93045,0.89114,0.84308,0.9292,0.90564,0.23351,0.34723,0.81316,0.006337,0.006337,0.006337
76,2280.53,0.30993,0.21958,0.93316,0.83746,0.914,0.93335,0.90762,0.2364,0.35784,0.81555,0.0062875,0.0062875,0.0062875
77,2310.65,0.30666,0.22208,0.93293,0.89758,0.78557,0.91077,0.88669,0.23528,0.35757,0.81497,0.006238,0.006238,0.006238
78,2340.55,0.30711,0.22422,0.93626,0.78906,0.92043,0.92263,0.8984,0.23598,0.35717,0.82206,0.0061885,0.0061885,0.0061885
79,2370.6,0.31184,0.21918,0.93525,0.87216,0.89478,0.94319,0.91907,0.23287,0.34126,0.81394,0.006139,0.006139,0.006139
80,2400.69,0.30332,0.22224,0.9294,0.85654,0.88776,0.92895,0.9059,0.22872,0.34586,0.81308,0.0060895,0.0060895,0.0060895
81,2430.57,0.30441,0.21787,0.93398,0.90053,0.87623,0.94151,0.91663,0.22236,0.31464,0.80606,0.00604,0.00604,0.00604
82,2460.64,0.30459,0.21772,0.93281,0.85026,0.82379,0.91554,0.8931,0.22443,0.34581,0.80828,0.0059905,0.0059905,0.0059905
83,2490.69,0.30479,0.21521,0.93084,0.88078,0.86023,0.93491,0.91157,0.21934,0.32203,0.80188,0.005941,0.005941,0.005941
84,2520.63,0.30284,0.21416,0.92848,0.92121,0.85316,0.93642,0.91084,0.22497,0.32299,0.80622,0.0058915,0.0058915,0.0058915
85,2550.79,0.3113,0.21967,0.93704,0.88151,0.91291,0.94488,0.92155,0.23203,0.32734,0.81006,0.005842,0.005842,0.005842
86,2580.87,0.30805,0.21556,0.93384,0.89347,0.882,0.94751,0.92012,0.23194,0.34364,0.80971,0.0057925,0.0057925,0.0057925
87,2610.95,0.2987,0.2155,0.92977,0.87641,0.89339,0.94297,0.91605,0.23269,0.34295,0.81317,0.005743,0.005743,0.005743
88,2640.86,0.30499,0.21601,0.93114,0.84831,0.89241,0.93846,0.91261,0.23668,0.34677,0.81656,0.0056935,0.0056935,0.0056935
89,2670.84,0.30057,0.21397,0.93343,0.86036,0.93723,0.94965,0.92744,0.23226,0.3175,0.81326,0.005644,0.005644,0.005644
90,2701.06,0.30323,0.21113,0.93441,0.92173,0.84709,0.94084,0.91116,0.22878,0.33331,0.8072,0.0055945,0.0055945,0.0055945
91,2730.91,0.30704,0.21702,0.93327,0.86518,0.8854,0.94144,0.91578,0.2272,0.33162,0.80811,0.005545,0.005545,0.005545
92,2760.91,0.2989,0.20227,0.92886,0.83848,0.90342,0.9411,0.91631,0.22205,0.31847,0.80078,0.0054955,0.0054955,0.0054955
93,2790.79,0.29569,0.20327,0.92814,0.87033,0.89434,0.93779,0.91372,0.22295,0.30475,0.80325,0.005446,0.005446,0.005446
94,2820.76,0.30157,0.21176,0.92675,0.86097,0.90916,0.93554,0.91218,0.23703,0.33971,0.81727,0.0053965,0.0053965,0.0053965
95,2850.81,0.30246,0.21195,0.93094,0.85756,0.91406,0.9385,0.91365,0.23236,0.3411,0.81451,0.005347,0.005347,0.005347
96,2880.7,0.29654,0.20659,0.92953,0.87316,0.85142,0.92705,0.90001,0.22992,0.34275,0.81138,0.0052975,0.0052975,0.0052975
97,2910.82,0.29809,0.20642,0.92949,0.84337,0.85188,0.92154,0.89942,0.22718,0.35258,0.81235,0.005248,0.005248,0.005248
98,2940.83,0.29772,0.20894,0.92484,0.83875,0.88377,0.93033,0.9078,0.22729,0.36675,0.81201,0.0051985,0.0051985,0.0051985
99,2970.68,0.29979,0.20516,0.92949,0.86003,0.81469,0.91306,0.88816,0.22783,0.36227,0.81096,0.005149,0.005149,0.005149
100,3000.68,0.29532,0.20895,0.92614,0.89038,0.78686,0.9083,0.88317,0.22729,0.36702,0.80829,0.0050995,0.0050995,0.0050995
101,3030.59,0.29787,0.20175,0.92393,0.84041,0.85424,0.91757,0.89012,0.22422,0.36302,0.80586,0.00505,0.00505,0.00505
102,3060.78,0.30022,0.20757,0.9293,0.86661,0.8366,0.92239,0.90093,0.22707,0.34429,0.81136,0.0050005,0.0050005,0.0050005
103,3090.65,0.29291,0.20245,0.92331,0.80073,0.87097,0.91895,0.89785,0.22319,0.36412,0.80454,0.004951,0.004951,0.004951
104,3120.62,0.29384,0.20738,0.92362,0.78144,0.92539,0.90685,0.88335,0.22495,0.35738,0.80699,0.0049015,0.0049015,0.0049015
105,3150.8,0.2932,0.19739,0.92648,0.86743,0.85762,0.92572,0.90246,0.22177,0.32262,0.80591,0.004852,0.004852,0.004852
106,3180.81,0.29676,0.20155,0.93064,0.87549,0.85434,0.92941,0.90431,0.22336,0.3252,0.80594,0.0048025,0.0048025,0.0048025
107,3210.84,0.29673,0.19855,0.92766,0.8748,0.85251,0.93312,0.90948,0.22691,0.35249,0.81128,0.004753,0.004753,0.004753
108,3240.71,0.28668,0.1976,0.91955,0.7981,0.8638,0.90654,0.8852,0.22355,0.35325,0.8071,0.0047035,0.0047035,0.0047035
109,3270.59,0.29271,0.19716,0.92555,0.86009,0.88491,0.92641,0.90556,0.22467,0.33315,0.80496,0.004654,0.004654,0.004654
110,3300.68,0.2927,0.20231,0.92699,0.83839,0.91513,0.93122,0.90519,0.21727,0.29729,0.80305,0.0046045,0.0046045,0.0046045
111,3330.59,0.29203,0.20111,0.9247,0.80413,0.92369,0.92061,0.89714,0.2227,0.31836,0.80549,0.004555,0.004555,0.004555
112,3360.68,0.29494,0.19752,0.92906,0.80634,0.88096,0.91116,0.88724,0.21837,0.34749,0.80569,0.0045055,0.0045055,0.0045055
113,3390.6,0.29121,0.19728,0.93001,0.88528,0.86002,0.92998,0.90407,0.22114,0.32072,0.8055,0.004456,0.004456,0.004456
114,3420.52,0.28949,0.19848,0.92763,0.86971,0.88099,0.9363,0.91004,0.22287,0.30931,0.80845,0.0044065,0.0044065,0.0044065
115,3450.6,0.28718,0.19723,0.92137,0.84312,0.8686,0.92411,0.89732,0.21801,0.30408,0.80023,0.004357,0.004357,0.004357
116,3480.6,0.28668,0.19581,0.92059,0.92482,0.83948,0.93799,0.91421,0.21373,0.30356,0.79753,0.0043075,0.0043075,0.0043075
117,3510.63,0.28572,0.19497,0.92468,0.84763,0.91004,0.93426,0.9096,0.21643,0.31306,0.79909,0.004258,0.004258,0.004258
118,3540.63,0.2824,0.1903,0.91967,0.90994,0.8644,0.94192,0.91991,0.21682,0.30024,0.79617,0.0042085,0.0042085,0.0042085
119,3570.58,0.28935,0.19686,0.9242,0.91803,0.85428,0.93871,0.91224,0.21675,0.30209,0.79604,0.004159,0.004159,0.004159
120,3600.66,0.28983,0.19466,0.92803,0.93805,0.84424,0.94526,0.91877,0.21655,0.30536,0.79974,0.0041095,0.0041095,0.0041095
121,3630.54,0.28955,0.19232,0.92458,0.88972,0.87969,0.94248,0.91814,0.21911,0.29912,0.80145,0.00406,0.00406,0.00406
122,3660.6,0.28856,0.19101,0.92734,0.91086,0.86091,0.94013,0.91605,0.21517,0.30702,0.79951,0.0040105,0.0040105,0.0040105
123,3690.58,0.28679,0.19017,0.92581,0.86576,0.8915,0.9422,0.9185,0.20934,0.28558,0.79327,0.003961,0.003961,0.003961
124,3720.73,0.28213,0.18344,0.92174,0.79911,0.94206,0.93183,0.90789,0.20834,0.30191,0.79054,0.0039115,0.0039115,0.0039115
125,3750.76,0.2791,0.18685,0.91634,0.92527,0.84154,0.94198,0.91697,0.21092,0.305,0.79323,0.003862,0.003862,0.003862
126,3780.69,0.2812,0.18919,0.92389,0.92342,0.84967,0.94193,0.92009,0.20617,0.30156,0.78897,0.0038125,0.0038125,0.0038125
127,3810.73,0.28461,0.18717,0.91913,0.85555,0.87386,0.93738,0.91622,0.2062,0.32248,0.79181,0.003763,0.003763,0.003763
128,3840.71,0.28368,0.18869,0.92231,0.88972,0.87373,0.94084,0.91828,0.20765,0.32638,0.79408,0.0037135,0.0037135,0.0037135
129,3870.63,0.28359,0.18653,0.91761,0.82577,0.88144,0.92077,0.89744,0.2129,0.34392,0.79509,0.003664,0.003664,0.003664
130,3900.87,0.28131,0.18324,0.92251,0.81894,0.85961,0.91514,0.8945,0.21364,0.34527,0.79673,0.0036145,0.0036145,0.0036145
131,3930.75,0.2833,0.18767,0.92547,0.75942,0.90397,0.90774,0.88845,0.21065,0.35229,0.79781,0.003565,0.003565,0.003565
132,3960.78,0.2765,0.18166,0.91926,0.81832,0.88629,0.92064,0.89932,0.20952,0.33478,0.79791,0.0035155,0.0035155,0.0035155
133,3990.67,0.27807,0.18108,0.91924,0.86682,0.83671,0.92936,0.90672,0.2091,0.32086,0.79633,0.003466,0.003466,0.003466
134,4020.48,0.27773,0.18277,0.92185,0.90738,0.79999,0.92546,0.90448,0.20862,0.30746,0.79531,0.0034165,0.0034165,0.0034165
135,4050.64,0.27848,0.18015,0.91936,0.82075,0.88143,0.92014,0.89707,0.2091,0.31404,0.79638,0.003367,0.003367,0.003367
136,4080.62,0.28316,0.18665,0.92025,0.86596,0.84965,0.92317,0.89825,0.20948,0.31491,0.79475,0.0033175,0.0033175,0.0033175
137,4110.71,0.27554,0.18313,0.91707,0.82501,0.87086,0.92107,0.90004,0.21047,0.33702,0.79465,0.003268,0.003268,0.003268
138,4140.57,0.27903,0.18016,0.91893,0.8362,0.86752,0.91961,0.89811,0.20865,0.32912,0.79207,0.0032185,0.0032185,0.0032185
139,4170.53,0.27077,0.17571,0.9163,0.83369,0.86235,0.92324,0.89931,0.20537,0.31104,0.79038,0.003169,0.003169,0.003169
140,4200.75,0.27832,0.18036,0.91582,0.87988,0.8341,0.92614,0.89797,0.20801,0.31882,0.79085,0.0031195,0.0031195,0.0031195
141,4230.64,0.27655,0.17985,0.92113,0.81429,0.88285,0.91998,0.89345,0.20994,0.33807,0.79405,0.00307,0.00307,0.00307
142,4260.58,0.2784,0.17909,0.92009,0.82325,0.88143,0.91611,0.88901,0.21163,0.33433,0.79737,0.0030205,0.0030205,0.0030205
143,4290.66,0.2761,0.17548,0.91895,0.8175,0.8786,0.91361,0.88807,0.20968,0.34015,0.79593,0.002971,0.002971,0.002971
144,4320.55,0.27152,0.17423,0.9153,0.81815,0.86904,0.91329,0.88812,0.20877,0.35037,0.79516,0.0029215,0.0029215,0.0029215
145,4350.78,0.27172,0.17665,0.9156,0.81278,0.89102,0.9185,0.8958,0.20798,0.34293,0.7952,0.002872,0.002872,0.002872
146,4380.62,0.27385,0.17435,0.9134,0.79764,0.89138,0.91802,0.89625,0.20979,0.35559,0.79649,0.0028225,0.0028225,0.0028225
147,4410.79,0.27627,0.17823,0.91876,0.80666,0.88336,0.91463,0.89425,0.20691,0.35962,0.79412,0.002773,0.002773,0.002773
148,4440.67,0.27376,0.17662,0.91522,0.80629,0.88096,0.91284,0.89271,0.20741,0.36212,0.7941,0.0027235,0.0027235,0.0027235
149,4470.59,0.27285,0.17166,0.91043,0.79824,0.88901,0.91341,0.89253,0.2061,0.35415,0.79351,0.002674,0.002674,0.002674
150,4500.69,0.27352,0.17315,0.9175,0.79335,0.89528,0.91425,0.89483,0.20634,0.35629,0.7937,0.0026245,0.0026245,0.0026245
151,4530.57,0.27281,0.17146,0.91632,0.86545,0.83431,0.91143,0.89273,0.20621,0.35742,0.79272,0.002575,0.002575,0.002575
152,4560.61,0.27487,0.1718,0.91657,0.82078,0.85923,0.89728,0.87662,0.20699,0.37333,0.79233,0.0025255,0.0025255,0.0025255
153,4590.68,0.26897,0.16965,0.91437,0.81281,0.86755,0.9009,0.87863,0.20832,0.37388,0.79322,0.002476,0.002476,0.002476
154,4620.49,0.26989,0.17234,0.91255,0.80801,0.89793,0.91162,0.89079,0.20949,0.35725,0.79485,0.0024265,0.0024265,0.0024265
155,4650.44,0.26749,0.17131,0.9119,0.87498,0.82799,0.91355,0.89507,0.21014,0.36334,0.79653,0.002377,0.002377,0.002377
156,4680.3,0.26433,0.16928,0.9122,0.8502,0.85687,0.91524,0.89616,0.21005,0.36581,0.79702,0.0023275,0.0023275,0.0023275
157,4710.24,0.26972,0.17307,0.91451,0.8099,0.90058,0.91308,0.89357,0.20877,0.37267,0.79555,0.002278,0.002278,0.002278
